NC_018464.1 Shamonda virus N and NSs genes, segment S, genomic RNA, isolate Ib An 5550
NC_022095.1 Human papillomavirus type 179 complete genome, isolate SIBX16
NC_011216.1 Burkholderia phage KS10, complete genome
NC_011357.1 Stx2-converting phage 1717, complete prophage genome
NC_011356.1 Enterobacteria phage YYZ-2008, complete prophage genome
NC_013059.1 Salmonella phage c341, complete genome
NC_027981.1 Vibrio phage VP58.5, complete genome
NC_012756.1 Streptococcus phage PH10, complete genome
NC_012753.1 Streptococcus phage 5093, complete genome
NC_015249.1 Enterobacteria phage 285P, complete genome
NC_013646.1 Enterococcus phage phiFL1A, complete genome
NC_013644.1 Enterococcus phage phiFL4A, complete genome
NC_013647.1 Klebsiella phage KP32, complete genome
NC_013597.1 Aggregatibacter phage S1249, complete sequence
NC_031242.1 Cyanophage S-RIM50 isolate RW_29_0704, complete genome
NC_023694.1 Rhodococcus phage ReqiPoco6, complete genome
NC_041898.1 Escherichia phage K1ind2, complete genome
NC_014662.1 Enterobacteria phage CC31, complete genome
NC_014900.1 Salmonella phage ST160, complete genome
NC_048033.1 Uncultured phage MedDCM-OCT-S05-C849 genomic sequence
NC_020837.1 Synechococcus phage S-CAM1 genomic sequence
NC_021530.1 Synechococcus phage S-CAM8 strain S-CAM8 06008BI06, complete genome
NC_020851.1 Synechococcus phage S-SKS1 genomic sequence
NC_020856.2 Sulfitobacter phage pCB2047-C, complete genome
NC_020858.2 Sulfitobacter phage pCB2047-A, complete genome
NC_020866.1 Rhodovulum phage RS1 genomic sequence
NC_027990.1 Lactobacillus phage LBR48, complete genome
NC_047733.1 Synechococcus phage S-RIM8 isolate RW_22_0300, complete genome
NC_027984.1 Stx2 converting phage vB_EcoP_24B, complete genome
NC_015271.1 Salmonella phage Vi06 complete sequence
NC_020859.1 Synechococcus phage S-RIM2 R1_1999, complete genome
NC_020486.1 Synechococcus phage S-RIM8 A.HR1, complete genome
NC_031019.1 Enterobacteria phage UAB_Phi20, complete genome
NC_016160.1 Escherichia phage HK75, complete genome
NC_016158.1 Escherichia phage HK639, complete genome
NC_015265.1 Burkholderia phage KS5, complete genome
NC_042058.1 Mycobacterium phage Wonder, complete genome
NC_019488.1 Salmonella phage RE-2010, complete genome
NC_028656.1 Enterobacteria phage VT2phi_272, complete sequence
NC_054978.1 Staphylococcus phage TEM126, complete sequence
NC_047854.1 Cronobacter phage ESSI-2, complete genome
NC_019932.1 Erwinia phage ENT90, complete genome
NC_019929.1 Erwinia phage phiEaH2, complete genome
NC_042328.1 Mycobacterium virus HelDan, complete genome
NC_041971.1 Mycobacterium phage Rey, complete genome
NC_042310.1 Mycobacterium virus JHC117, complete genome
NC_042311.1 Mycobacterium virus Microwolf, complete genome
NC_042036.1 Mycobacterium phage Rockstar, complete genome
NC_015719.1 Enterobacteria phage K30, complete genome
NC_048015.1 Cyanophage S-TIM4, complete genome
NC_018285.1 Streptococcus phage YMC-2011, complete genome
NC_023734.1 Psychrobacter phage Psymv2, complete genome
NC_023731.1 Mycobacterium phage Trixie, complete genome
NC_047867.1 Enterobacteria phage T7M, complete genome
NC_023719.1 Bacillus phage G, complete genome
NC_041970.1 Mycobacterium phage Bongo, complete genome
NC_023745.1 Mycobacterium virus LHTSCC, complete genome
NC_019501.1 Enterobacteria phage IME10, complete genome
NC_027402.1 Salmonella phage SPN3US, complete genome
NC_016072.1 Megavirus chiliensis, complete genome
NC_019442.1 Escherichia phage TL-2011c, complete genome
NC_016571.1 Pseudomonas phage OBP, complete genome
NC_047735.1 Bacillus phage BCU4, complete genome
NC_017985.1 Salmonella phage SPN9CC, complete genome
NC_019522.1 Pectobacterium phage ZF40, complete genome
NC_016762.1 Pseudomonas phage phi297, complete genome
NC_016765.1 Pseudomonas phage vB_PaeS_PMG1, complete genome
NC_020489.1 Rhodobacter phage RcapNL, complete genome
NC_019517.1 Enterobacteria phage vB_EcoM-FV3, complete genome
NC_019516.1 Cyanophage S-TIM5, complete genome
NC_019401.1 Cronobacter phage vB_CsaM_GAP32, complete genome
NC_019526.1 Enterobacteria phage vB_KleM-RaK2, complete genome
NC_019710.1 Enterobacteria phage HK140, complete genome
NC_019717.1 Enterobacteria phage HK225, complete genome
NC_019714.1 Enterobacteria phage HK446, complete genome
NC_019723.1 Enterobacteria phage HK630, complete genome
NC_019719.1 Enterobacteria phage HK633, complete genome
NC_019711.1 Enterobacteria phage HK629, complete genome
NC_019706.1 Enterobacteria phage mEp043 c-1, complete genome
NC_019708.1 Enterobacteria phage mEp235, complete genome
NC_019704.1 Enterobacteria phage mEp237, complete genome
NC_019716.1 Enterobacteria phage mEp460, complete genome
NC_019709.1 Enterobacteria phage mEpX1, complete genome
NC_019705.1 Enterobacteria phage mEpX2, complete genome
NC_019720.1 Enterobacterial phage mEp213, complete genome
NC_019715.1 Enterobacterial phage mEp234, complete genome
NC_049942.1 Escherichia phage JLK-2012, complete sequence
NC_018846.1 Escherichia phage P13374, complete genome
NC_018275.1 Salmonella phage vB_SemP_Emek, complete genome
NC_018279.1 Salmonella phage vB_SosS_Oslo, complete genome
NC_017968.1 Staphylococcus phage TEM123, complete genome
NC_021775.1 Salmonella phage FSL SP-031, complete genome
NC_017973.1 Mycobacterium phage SWU1, complete genome
NC_047939.1 Yersinia phage YpP-Y, complete sequence
NC_047940.1 Yersinia phage YpsP-G, complete sequence
NC_018843.1 Salmonella phage SSU5, complete genome
NC_027344.1 Salmonella phage STML-198, complete genome
NC_019919.2 Yersinia phage phiR201 complete genome
NC_024711.1 Uncultured crAssphage, complete genome
NC_027339.1 Enterobacteria phage SfI, complete genome
NC_049924.1 Stx2-converting phage Stx2a_F451 proviral DNA, complete genome
NC_049923.1 Stx2-converting phage Stx2a_WGPS9 proviral DNA, complete genome
NC_049941.1 Stx2-converting phage Stx2a_WGPS2 proviral DNA, complete genome
NC_049945.1 Stx2-converting phage Stx2a_WGPS6 proviral DNA, complete genome
NC_049944.1 Stx2-converting phage Stx2a_WGPS8 proviral DNA, complete genome
NC_019722.1 Vibrio phage vB_VpaM_MAR, complete genome
NC_018834.1 Propionibacterium phage P9.1, complete genome
NC_018839.1 Propionibacterium phage P14.4, complete genome
NC_018841.1 Propionibacterium phage P101A, complete genome
NC_018845.1 Propionibacterium phage P104A, complete genome
NC_018849.1 Propionibacterium phage P105, complete genome
NC_018852.1 Propionibacterium phage P100D, complete genome
NC_018838.1 Propionibacterium phage P100_A, complete genome
NC_018840.1 Propionibacterium phage P100_1, complete genome
NC_018842.1 Propionibacterium phage P1.1, complete genome
NC_018847.1 Propionibacterium phage ATCC29399B_T, complete genome
NC_018851.1 Propionibacterium phage ATCC29399B_C, complete genome
NC_019813.1 Pseudomonas phage vB_PaeP_p2-10_Or1, complete genome
NC_022336.1 Propionibacterium phage PHL010M04, complete genome
NC_022339.1 Propionibacterium phage PHL037M02, complete genome
NC_022338.1 Propionibacterium phage PHL060L00, complete genome
NC_022335.1 Propionibacterium phage PHL067M10, complete genome
NC_022337.1 Propionibacterium phage PHL071N05, complete genome
NC_022342.1 Propionibacterium phage PHL111M01, complete genome
NC_022334.1 Propionibacterium phage PHL112N00, complete genome
NC_022341.1 Propionibacterium phage PHL113M01, complete genome
NC_022340.1 Propionibacterium phage PHL114L00, complete genome
NC_019416.1 Stenotrophomonas phage IME15, complete genome
NC_022791.1 Streptococcus phage phiBHN167 complete genome
NC_020104.1 Acanthamoeba polyphaga moumouvirus, complete genome
NC_027364.1 Escherichia phage PBECO 4, complete genome
NC_047715.1 Cyanophage S-RIM12 isolate RW_01_0310, complete genome
NC_047716.1 Cyanophage S-RIM12 isolate RW_06_0310, complete genome
NC_047717.1 Cyanophage S-RIM12 isolate W1_08_0910, complete genome
NC_031235.1 Cyanophage S-RIM32 isolate RW_108_0702, complete genome
NC_047734.1 Cyanophage S-RIM44 isolate Np_42_0711, complete genome
NC_023006.1 Pseudomonas phage PPpW-3 DNA, complete sequence
NC_021867.1 Flavobacterium phage 6H, complete genome
NC_021299.1 Mycobacterium phage PegLeg, complete genome
NC_021338.1 Mycobacterium phage Chy4, complete genome
NC_021318.1 Mycobacterium phage Chy5, complete genome
NC_022323.1 Escherichia phage 2 JES-2013, complete genome
NC_048026.1 Synechococcus T7-like virus S-TIP37, complete genome
NC_023587.1 Synechococcus phage S-MbCM7, complete genome
NC_023584.1 Synechococcus phage S-MbCM100, complete genome
NC_029018.2 Mycobacterium phage Anubis, complete genome
NC_022058.1 Mycobacterium phage Adzzy, complete genome
NC_023503.1 Streptococcus phage 20617 complete prophage genome
NC_022749.1 Shigella phage SfIV, complete genome
NC_029120.1 Shigella phage 75/02 Stx, complete genome
NC_023579.1 Erwinia phage Ea9-2, complete genome
NC_023562.1 Mycobacterium phage BellusTerra, complete genome
NC_047743.1 Burkholderia phage Bp-AMP1 complete genome
NC_027399.1 Klebsiella phage K64-1 DNA, complete genome
NC_023577.1 Mycobacterium phage Obama12, complete genome
NC_026607.2 Salmonella phage STP4-a, complete genome
NC_024134.1 Escherichia phage vB_EcoM_FFH2, complete genome
NC_024361.1 Streptococcus phage DCC1738, complete sequence
NC_024357.1 Streptococcus phage K13, complete sequence
NC_024370.1 Streptococcus phage IC1, complete sequence
NC_023561.1 Enterobacter phage PG7, complete genome
NC_028660.1 Escherichia phage phi191, complete genome
NC_024141.1 Mycobacterium phage Kampy, complete genome
NC_025453.1 Enterococcus phage EFC-1, complete genome
NC_027130.1 Synechococcus phage ACG-2014b isolate Syn7803C100, complete genome
NC_047718.1 Synechococcus phage ACG-2014b isolate Syn7803C61, complete genome
NC_047719.1 Synechococcus phage ACG-2014b isolate Syn9311C4, complete genome
NC_026923.1 Synechococcus phage ACG-2014d isolate Syn7803C102, complete genome
NC_026928.1 Synechococcus phage ACG-2014e isolate Syn7803C2, complete genome
NC_026927.1 Synechococcus phage ACG-2014f isolate Syn7803C90, complete genome
NC_047713.1 Synechococcus phage ACG-2014f isolate Syn7803C8, complete genome
NC_047714.1 Synechococcus phage ACG-2014f isolate Syn7803US26, complete genome
NC_026924.1 Synechococcus phage ACG-2014g isolate Syn7803US105, complete genome
NC_027132.1 Synechococcus phage ACG-2014i isolate Syn7803US120, complete genome
NC_026926.1 Synechococcus phage ACG-2014j isolate Syn7803US103, complete genome
NC_027371.1 Propionibacterium phage Pacnes 2012-15, complete genome
NC_025434.1 Shigella phage POCJ13, complete genome
NC_024365.1 Pseudomonas phage phiPSA1, complete genome
NC_027336.1 Propionibacterium phage PHL009M11, complete genome
NC_027357.1 Propionibacterium phage PHL025M00, complete genome
NC_027373.1 Propionibacterium phage PHL030N00, complete genome
NC_027391.1 Propionibacterium phage PHL041M10, complete genome
NC_027400.1 Propionibacterium phage PHL055N00, complete genome
NC_027380.1 Propionibacterium phage PHL067M01, complete genome
NC_027333.1 Propionibacterium phage PHL070N00, complete genome
NC_027359.1 Propionibacterium phage PHL082M00, complete genome
NC_041955.1 Propionibacterium phage PHL082M03, complete genome
NC_027361.1 Propionibacterium phage PHL085N00, complete genome
NC_027385.1 Propionibacterium phage PHL092M00, complete genome
NC_027401.1 Propionibacterium phage PHL095N00, complete genome
NC_027362.1 Propionibacterium phage PHL116M00, complete genome
NC_027403.1 Propionibacterium phage PHL117M00, complete genome
NC_041956.1 Propionibacterium phage PHL117M01, complete genome
NC_027367.1 Propionibacterium phage PHL132N00, complete genome
NC_027389.1 Propionibacterium phage PHL141N00, complete genome
NC_027294.1 Propionibacterium phage PHL150M00, complete genome
NC_027347.1 Propionibacterium phage PHL151M00, complete genome
NC_041957.1 Propionibacterium phage PHL151N00, complete genome
NC_027386.1 Propionibacterium phage PHL152M00, complete genome
NC_027405.1 Propionibacterium phage PHL163M00, complete genome
NC_027346.1 Propionibacterium phage PHL171M01, complete genome
NC_027370.1 Propionibacterium phage PHL179M00, complete genome
NC_027392.1 Propionibacterium phage PHL194M00, complete genome
NC_027295.1 Propionibacterium phage PHL199M00, complete genome
NC_027354.1 Propionibacterium phage PHL301M00, complete genome
NC_027376.1 Propionibacterium phage PHL308M00, complete genome
NC_027334.1 Aurantimonas phage AmM-1 DNA, complete sequence
NC_027398.1 Enterobacteria phage Sf101, complete genome
NC_029046.1 Sinorhizobium phage phiLM21, complete genome
NC_027299.1 Sulfitobacter phage NYA-2014a, complete genome
NC_027387.1 Escherichia phage CICC 80001, complete genome
NC_025830.1 Escherichia phage Av-05, complete genome
NC_025451.1 Yersinia phage vB_YenP_AP5, complete genome
NC_028955.1 Prochlorococcus phage P-TIM68, complete genome
NC_031258.1 Salmonella phage BP12A, complete genome
NC_025447.1 Escherichia phage 121Q, complete genome
NC_029043.2 Mycobacterium phage SweetiePie, complete genome
NC_028877.1 Mycobacterium phage Larenn, complete genome
NC_027396.1 Streptococcus phage SpSL1, complete genome
NC_028962.1 Staphylococcus phage phiIPLA-C1C, complete genome
NC_028772.1 Enterobacter phage phiEap-1, complete genome
NC_028666.1 Streptococcus phage Str-PAP-1, complete genome
NC_028933.1 Pseudomonas phage PhiCHU, complete genome
NC_028768.1 Achromobacter phage JWX, complete genome
NC_028834.1 Achromobacter phage 83-24, complete genome
NC_042128.1 Escherichia phage RCS47, complete genome
NC_029009.1 Enterococcus phage EFDG1, complete genome
NC_028683.1 Edwardsiella phage PEi20 DNA, complete sequence
NC_028880.1 Citrobacter phage phiCFP-1, complete genome
NC_029102.1 Enterobacter phage E-2, complete genome
NC_028795.1 Enterobacter phage E-3, complete genome
NC_029008.1 Bacillus phage phi4J1, complete genome
NC_041868.1 Paracoccus phage Shpa, complete genome
NC_028696.2 Salmonella phage SEN22, complete genome
NC_047753.1 Salmonella phage SEN8, complete genome
NC_031936.1 Gordonia phage GAL1, complete genome
NC_030902.1 Gordonia phage GMA1, complete genome
NC_031005.2 Propionibacterium phage QueenBey, complete genome
NC_041954.1 Propionibacterium phage Keiki, complete genome
NC_027623.2 Propionibacterium phage Pirate, complete genome
NC_041869.1 Escherichia phage APCEc02, complete genome
NC_028449.1 Escherichia phage PA2, complete genome
NC_041935.1 Escherichia phage PA28, complete genome
NC_047755.1 Yersinia phage phiYe-F10, complete genome
NC_028977.1 Klebsiella phage vB_KpnP_KpV289, complete genome
NC_028685.1 Shigella phage Ss-VASD, complete genome
NC_041871.1 Escherichia phage Murica, complete genome
NC_042051.1 Streptomyces phage Aaronocolus, complete genome
NC_042052.1 Streptomyces phage Hydra, complete genome
NC_028890.1 Bacillus phage TsarBomba, complete genome
NC_028967.1 Propionibacterium phage PAC1, complete genome
NC_028695.2 Enterobacter phage phiEap-2, complete genome
NC_028688.1 Klebsiella phage vB_Kp1, complete genome
NC_031920.1 Streptococcus phage phiARI0004, complete genome
NC_031910.1 Streptococcus phage phiARI0031, complete genome
NC_031901.1 Streptococcus phage phiARI0131-1, complete genome
NC_031941.1 Streptococcus phage phiARI0131-2, complete genome
NC_031913.1 Streptococcus phage phiARI0460-1, complete genome
NC_031942.1 Streptococcus phage phiARI0462, complete genome
NC_031929.1 Streptococcus phage phiARI0468-1, complete genome
NC_031923.1 Streptococcus phage phiARI0468-2, complete genome
NC_031915.1 Streptococcus phage phiARI0468-4, complete genome
NC_031907.1 Streptococcus phage phiARI0746, complete genome
NC_030946.1 Streptococcus phage phiARI0923, complete genome
NC_028697.1 Streptococcus phage A25, complete genome
NC_028659.1 Klebsiella phage vB_KpnM_KB57, complete genome
NC_028248.1 Escherichia phage slur16, complete genome
NC_028694.1 Propionibacterium phage PA1-14, complete genome
NC_030940.1 Pseudomonas phage phi3, complete genome
NC_028687.1 Mycobacterium phage Iracema64, complete genome
NC_028657.1 Pseudomonas phage YMC11/02/R656, complete genome
NC_047761.1 Klebsiella phage vB_KpnP_IME205, complete genome
NC_031279.1 Mycobacterium phage Bactobuster, complete genome
NC_031911.1 Flavobacterium phage 1H, complete genome
NC_031926.1 Flavobacterium phage 2A, complete genome
NC_049925.1 Stx converting phage vB_EcoS_P27, complete genome
NC_049922.1 Stx converting phage vB_EcoS_ST2-8624, complete genome
NC_031066.1 Citrobacter phage SH1, complete genome
NC_031092.1 Citrobacter phage SH2, complete genome
NC_030919.1 Salmonella phage 118970_sal4, complete genome
NC_031918.1 Salmonella phage 64795_sal3, complete genome
NC_031940.1 Salmonella phage 118970_sal3, complete genome
NC_031946.1 Salmonella Phage 103203_sal5, complete genome
NC_041859.1 Flavobacterium phage 23T, complete genome
NC_031921.1 Flavobacterium phage Fpv5, complete genome
NC_031938.1 Flavobacterium phage Fpv6, complete genome
NC_031905.1 Flavobacterium phage Fpv7, complete genome
NC_031919.1 Flavobacterium phage Fpv8, complete genome
NC_031069.1 Streptococcus virus 9871, complete genome
NC_031094.1 Streptococcus virus 9872, complete genome
NC_047763.1 Streptococcus virus 9873, complete genome
NC_031023.1 Streptococcus virus 9874, complete genome
NC_031944.1 Synechococcus phage S-WAM1 isolate 0810PA09, complete genome
NC_031935.1 Synechococcus phage S-WAM2 isolate 0810PA29, complete genome
NC_031263.1 Mycobacterium phage EvilGenius, complete genome
NC_031114.1 Escherichia phage 64795_ec1, complete genome
NC_030942.1 Gordonia phage BritBrat, complete genome
NC_031020.1 Morganella phage vB_MmoM_MP1, complete genome
NC_047766.1 Escherichia phage ECA2, complete genome
NC_049920.1 Stx1 converting phage AU5Stx1, complete genome
NC_049921.1 Stx1 converting phage AU6Stx1, complete genome
NC_031068.2 Pectobacterium phage PP16, complete genome
NC_031924.1 Salmonella phage IME207, complete genome
NC_049383.1 Tenacibaculum phage pT24 DNA, complete genome
NC_047771.1 Klebsiella phage vB_KpnP_KpV763, complete genome
NC_031903.1 Synechococcus phage S-CAM22 isolate 1209TA19, complete genome
NC_055710.1 Synechococcus phage S-CAM22 isolate 0210CC35, complete genome
NC_031906.1 Synechococcus phage S-CAM3 isolate 1010CC42, complete genome
NC_031900.1 Synechococcus phage S-CAM4 isolate 0809SB33, complete genome
NC_031922.1 Synechococcus phage S-CAM9 isolate 1109NB16, complete genome
NC_031107.2 Erwinia phage vB_EamM_Asesino, complete genome
NC_031126.1 Erwinia phage vB_EamM_ChrisDB, complete genome
NC_031127.1 Erwinia phage vB_EamM_Huxley, complete genome
NC_042056.1 Erwinia phage vB_EamM_Machina, complete genome
NC_031120.1 Erwinia phage vB_EamM_Caitlin, complete genome
NC_055726.1 Cronobacter phage Pet-CM3-4 genome assembly, chromosome: I
NC_047774.1 Serratia phage SM9-3Y, complete genome
NC_054772.1 Mycobacterium phage BabyRay, complete genome
NC_041890.1 Propionibacterium phage Anatole, complete genome
NC_041891.1 Propionibacterium phage B22, complete genome
NC_041892.1 Propionibacterium phage B3, complete genome
NC_041894.1 Propionibacterium phage E6, complete genome
NC_041895.1 Propionibacterium phage G4, complete genome
NC_049378.1 Salmonella phage ST-W77, complete genome
NC_047781.1 Klebsiella phage vB_KpnP_BIS33, complete genome
NC_048656.1 Klebsiella phage vB_KpnM_BIS47, complete genome
NC_047875.1 Salmonella phage UPF_BP1, complete genome
NC_054796.1 Mycobacterium phage LeoAvram, complete genome
NC_047796.1 Enterococcus phage EFP01, complete genome
NC_048737.1 Lactobacillus phage BH1, complete genome
NC_042346.1 Salmonella virus BTP1 genome assembly, chromosome: BTP1
NC_047816.1 Ralstonia phage RS-PI-1, complete genome
NC_041937.1 Escherichia phage V18, complete genome
NC_049918.1 Escherichia phage ArgO145, complete genome
NC_055719.1 Synechococcus phage S-H35, complete genome
NC_054811.1 Mycobacterium phage Heffalump, complete genome
NC_054759.1 Mycobacterium phage PurpleHaze, complete genome
NC_048055.1 Curvibacter phage P26059B, complete genome
NC_047969.1 Klebsiella virus KP32 isolate 194, complete genome
NC_047970.1 Klebsiella virus KP32 isolate 195, complete genome
NC_047971.1 Klebsiella virus KP32 isolate 196, complete genome
NC_050154.1 Escherichia phage D6, complete genome
NC_049926.1 Escherichia phage ECP1, complete genome
NC_042009.1 Streptomyces phage NootNoot, complete genome
NC_042010.1 Streptomyces phage Paradiddles, complete genome
NC_042011.1 Streptomyces phage Peebs, complete genome
NC_042012.1 Streptomyces phage Samisti12, complete genome
NC_047838.1 Synechococcus phage Bellamy, complete genome
NC_047842.1 Klebsiella phage 2044-307w, complete genome
NC_047843.1 Leclercia phage 10164-302, complete genome
NC_047844.1 Serratia phage 2050H2, complete genome
NC_054812.1 Mycobacterium phage JoshKayV, complete genome
NC_054793.1 Mycobacterium phage Kimona, complete genome
NC_054714.1 Mycobacterium phage Phabba, complete genome
NC_047861.1 Bordetella phage vB_BbrM_PHB04, complete genome
NC_042081.1 Pseudomonas phage SL2, complete genome
NC_042044.1 Salmonella phage Melville, complete genome
NC_048680.1 Lactobacillus phage LJ, complete genome
NC_054795.1 Mycobacterium phage Cerulean, complete genome
NC_042084.1 Escherichia phage VB_EcoS-Golestan, complete genome
NC_042091.1 Pseudomonas phage nickie, complete genome
NC_042116.1 Yersinia phage fHe-Yen9-04 genome assembly, complete genome: monopartite
NC_048105.1 Salmonella phage BSP161, complete genome
NC_048682.1 Raoultella phage Ro1, complete genome
NC_054974.1 Staphylococcus phage HSA84, complete genome
NC_054662.1 Streptomyces phage Omar, complete genome
NC_048694.1 Klebsiella phage vB_Kpn_F48, complete genome
NC_047911.1 Faecalibacterium phage FP_Lagaffe, complete genome
NC_042103.1 Pseudomonas phage Bjorn, complete genome
NC_042107.1 Pseudomonas phage NV1, complete genome
NC_047942.1 Escherichia phage Ebrios, complete genome
NC_055761.1 Synechococcus virus S-PRM1, complete genome
NC_049919.1 Escherichia phage SH2026Stx1, complete genome
NC_055739.1 Enterobacter phage myPSH1140, complete genome
NC_047958.1 Burkholderia phage vB_BmuP_KL4, complete genome
NC_054773.1 Mycobacterium phage Pistachio, complete genome
NC_054637.1 Escherichia coli Phage vB_EcoS-Sa179lw, complete genome
NC_054809.1 Mycobacterium phage Fameo, complete genome
NC_048103.1 Pectobacterium phage PPWS2 DNA, complete genome
NC_055744.1 Synechococcus phage S-B64, complete genome
NC_049510.1 Erwinia phage phiEaP-8, complete genome
NC_050153.1 Escherichia phage vB_EcoM-Ro157c2YLVW, complete genome
NC_047974.1 Rhodococcus phage Jace, complete genome
NC_047984.1 Escherichia phage vB_EcoP_S523, complete genome
NC_048018.1 Gordonia phage Apricot, complete genome
NC_055751.1 Gordonia phage Danyall, complete genome
NC_048014.1 Klebsiella phage vB_KpnP_IME321, complete genome
NC_048049.1 Synechococcus phage S-T4, complete genome
NC_048004.1 Salmonella phage 3A_8767, complete genome
NC_049951.1 Enterobacteria phage O276, complete genome
NC_048129.1 Klebsiella phage KN1-1 DNA, complete genome
NC_048131.1 Klebsiella phage KN3-1 DNA, complete genome
NC_048721.1 Streptomyces phage StarPlatinum, complete genome
NC_048724.1 Streptomyces phage Karimac, complete genome
NC_048723.1 Streptomyces phage LukeCage, complete genome
NC_048730.1 Streptomyces phage Yaboi, complete genome
NC_048063.1 Escherichia phage LL2, complete genome
NC_048039.1 Gordonia phage Horus, complete genome
NC_048082.1 Enterobacteria phage vB_EcoP_IME390, complete genome
NC_048732.1 Klebsiella phage Seifer, complete genome
NC_048087.1 Enterococcus phage EfV12-phi1, complete genome
NC_048079.1 Escherichia phage C5, complete genome
NC_048078.1 Escherichia phage N30, complete genome
NC_048135.1 Enterobacter phage EcpYZU01, complete genome
NC_048741.1 Proteus phage Mydo, complete genome
NC_048102.1 Synechoccus phage S-P4, partial genome
NC_048114.1 Klebsiella phage kpssk3, complete genome
NC_048138.1 Klebsiella phage Henu1, complete genome
NC_048136.1 Escherichia phage vB_EcoP-Ro45lw, complete genome
NC_054814.1 Mycobacterium phage IronMan, complete genome
NC_054761.1 Mycobacterium phage Zetzy, complete genome
NC_054652.1 Klebsiella phage YX3973, complete genome
NC_049454.1 Klebsiella phage ST15-OXA48phi14.1, complete genome
NC_049453.1 Klebsiella phage ST13-OXA48phi12.1, complete genome
NC_049451.1 Klebsiella phage ST147-VIM1phi7.1, complete genome
NC_049448.1 Klebsiella phage ST437-OXA245phi4.1, complete genome
NC_051625.1 Mycobacterium Phage Niklas, complete genome
NC_055791.1 Streptomyces phage EGole, complete genome
NC_048163.1 Phage NC-A, complete genome
NC_048169.1 Gordonia phage BrutonGaster, complete genome
NC_054784.1 Mycobacterium phage Pharaoh, complete genome
NC_048180.1 Shigella phage VB_Ship_A7, complete genome
NC_048175.1 Klebsiella phage Pharr, complete genome
NC_048176.1 Gordonia phage GodonK, complete genome
NC_054973.1 Staphylococcus virus Baq_Sau1, partial genome
NC_048765.1 Vibrio phage VAP7, complete genome
NC_048798.1 Klebsiella phage Marfa, complete genome
NC_054976.1 Staphylococcus phage SAP33, complete genome
NC_055809.1 Streptomyces phage Evy, complete genome
NC_049917.1 Escherichia phage Lys12581Vzw, complete genome
NC_054760.1 Mycobacterium phage SoilDragon, complete genome
NC_054655.1 Streptomyces phage Celia, complete genome
NC_052985.1 Aeromonas phage LAh_7, complete genome
NC_055805.1 Gordonia phage RogerDodger, complete genome
NC_054727.1 Mycobacterium phage Phrappuccino, complete genome
NC_051739.1 Mycobacterium phage Purky, complete genome
NC_055813.1 Streptomyces phage Braelyn, complete genome
NC_048807.1 Erwinia phage pEp_SNUABM_01, complete genome
NC_049464.1 Serratia phage Muldoon, complete genome
NC_052984.1 Aeromonas phage vB_AhyS-A18P4, complete genome
NC_048816.1 Gordonia phage OhMyWard, complete genome
NC_055822.1 Streptomyces phage Daubenski, complete genome
NC_049478.1 Arthrobacter phage Mufasa8, complete genome
NC_048822.1 Gordonia phage Avazak, complete genome
NC_054807.1 Mycobacterium phage Bugsy, complete genome
NC_048828.1 Erwinia phage Hena1, complete genome
NC_001317.1 Escherichia phage 186, complete genome
NC_049952.1 Escherichia virus Lambda_2B8 genome assembly, chromosome: 1
NC_049954.1 Escherichia virus Lambda_2G7b genome assembly, chromosome: 1
NC_049946.1 Escherichia virus Lambda_4A7 genome assembly, chromosome: 1
NC_054815.1 Mycobacterium phage Phaded, complete genome
NC_054797.1 Mycobacterium phage Cintron, complete genome
NC_048832.1 Flavobacterium phage vB_FspS_hattifnatt9-1, complete genome
NC_048834.1 Flavobacterium phage vB_FspS_laban6-1, complete genome
NC_048835.1 Flavobacterium phage vB_FspS_lillamy9-1, complete genome
NC_048836.1 Flavobacterium phage vB_FspS_morran9-1, complete genome
NC_048839.1 Flavobacterium phage vB_FspS_sniff9-1, complete genome
NC_048840.1 Flavobacterium phage vB_FspS_snork6-1, complete genome
NC_048841.1 Flavobacterium phage vB_FspS_snusmum6-1, complete genome
NC_049494.1 Acinetobacter phage vB_AbaM_PhT2, complete genome
NC_049394.1 Escherichia phage ESSI2_ev129 genome assembly, chromosome: 1
NC_049395.1 Escherichia phage ESSI2_ev015 genome assembly, chromosome: 1
NC_048849.1 Enterobacter phage vB_EclM_CIP9, complete genome
NC_049342.1 Escherichia phage 500465-1, complete genome
NC_054965.1 Klebsiella phage LASTA, complete genome
NC_048873.1 Klebsiella virus KpS8, complete genome
NC_055842.1 Streptomyces phage Bmoc, complete genome
NC_054771.1 Mycobacterium phage MA5, complete genome
NC_049948.1 Escherichia phage Lambda_ev017 genome assembly, chromosome: 1
NC_049953.1 Escherichia phage Lambda_ev099 genome assembly, chromosome: 1
NC_049949.1 Escherichia phage Lambda_ev207 genome assembly, chromosome: 1
NC_049955.1 Escherichia phage Lambda_ev243 genome assembly, chromosome: 1
NC_054653.1 Klebsiella virus KpV2811, complete genome
NC_053516.1 Mycobacterium phage Reindeer, complete genome
NC_055864.1 Gordonia phage Love, complete genome
NC_054148.1 Burkholderia phage Mica, complete genome
NC_054649.1 Escherichia phage vB_EcoS_swi2, complete genome
NC_055890.1 CrAssphage cr56_1, complete genome
NC_055894.1 CrAssphage cr6_1, complete genome
NC_055898.1 CrAssphage cr115_1, complete genome
NC_055900.1 CrAssphage cr125_1, complete genome
